Exchange Date;Close;Adjusted Close;Net;%Chg;Open;Low;High;Volume;Turnover - EUR;Flow
20. Feb 25;405.91;415.05;-9.14;-2.2%;413.04;399.18;413.54;456.494;;7278339812.68
19. Feb 25;415.05;;-7.54;-1.78%;421.68;411.87;422.91;822.127;342151981.09;7278339812.68
18. Feb 25;422.59;;Okt 15;2.46%;416.47;408.24;422.95;666.305;277481097.42;7603020887.2
14. Feb 25;412.44;;01. Feb;0.29%;411.78;398.19;416.53;724.307;295129353.15;7293403517.46
13. Feb 25;411.24;;27.78;7.24%;383.2;381.44;412.24;1.514.047;610600895.98;7.016.335.174,00
12. Feb 25;383.46;;13.14;3.55%;363.8;359.57;385.02;1.180.667;445.026.845,00;6456341495.86
11. Feb 25;370.33;;-19.2;-4.93%;385.13;367.99;386.08;574.434;214361869.61;6024046123.63
10. Feb 25;389.53;;08. Feb;2.15%;386.26;382.3;391.65;487.009;189272499.38;6271110758.79
07. Feb 25;381.33;;Jun 26;1.67%;382.31;379.36;387.53;717.372;274737012.29;6069490431.01
06. Feb 25;375.07;;-1.78;-0.47%;375.69;366.22;378.3;394.787;146598588.07;5764592982.07
05. Feb 25;376.85;;Apr 72;1.27%;374.36;371.01;395.78;748.701;283509943.27;5899225595.31
04. Feb 25;372.13;;19.81;5.62%;354.24;353.41;373.79;781.406;286322058.08;5.629.267.907,00
03. Feb 25;352.32;;01. Mai;0.3%;343.15;340.29;353.67;577.573;202649786.67;5359967073.78
31. Jan 25;351.27;;Jan 63;0.47%;355.57;348.39;355.57;512.309;180247653.21;5148354905.25
30. Jan 25;349.64;;Mai 61;1.63%;346.49;345.95;356.85;504.782;177111637.04;4954722510.31
29. Jan 25;344.03;;07. Jul;2.29%;340.47;332.24;349.29;457.242;156123967.08;4763860710.03
28. Jan 25;336.33;;24. Aug;7.96%;313.58;311.69;337.08;581.055;192794290.61;4604231811.33
27. Jan 25;311.52;;-1.64;-0.52%;305.02;297;318.59;752.023;233814587.76;4384940190.15
24. Jan 25;313.16;;-9.44;-2.93%;314.97;309.73;319.76;445.064;139626074.84;4617882583.35
23. Jan 25;322.6;;-0.3;-0.09%;322.47;316.85;324.4;403.933;129692150.83;4793101863.73
22. Jan 25;322.9;;-0.51;-0.16%;325.55;316.02;330.07;443.300;142513863.21;4926588075.46
21. Jan 25;323.4;;-18.46;-5.4%;338.48;312.33;338.49;795.263;254760978.54;5058392828.43
17. Jan 25;341.87;;Sep 96;3,00%;342.53;331.56;346.61;742.815;252917655.87;5394940668.65
16. Jan 25;331.91;;20.92;6.73%;318.19;317.93;345.48;932.593;311325620.22;5128502769.85
15. Jan 25;310.99;;Jul 78;2.57%;308.01;307.1;314.63;330.440;102901032.48;4821393779.48
14. Jan 25;303.21;;-5.63;-1.82%;310.47;302.49;315.32;428.770;131362485.25;4710239474.92
13. Jan 25;308.84;;-2.24;-0.72%;304.14;297.74;309.69;399.357;122191326.43;4871393823.47
10. Jan 25;311.08;;-2.1;-0.67%;309.36;298.54;311.75;535.196;164288141.06;4993585149.9
08. Jan 25;313.18;;Mrz 34;1.08%;308.56;304.55;315.18;425.592;132561526.08;5120887168.48
07. Jan 25;309.85;;-14.23;-4.39%;324.98;301.45;325.69;639.747;199277479.7;4978186141.47
06. Jan 25;324.08;;-5.82;-1.76%;331.18;319.8;334.01;613.317;198986423.1;5152036927.69
03. Jan 25;329.9;;Dez 43;3.92%;318.53;316.82;331.75;344.127;112708363.1;5393610927.28
02. Jan 25;317.47;;Apr 29;1.37%;318.85;310.8;320.46;466.373;147463013.83;5303003401.62
31. Dez 24;313.17;;0.69;0.22%;315.24;309.96;317.56;344.613;107844932.42;5111721099.34
30. Dez 24;312.48;;-7.21;-2.25%;315.39;308.68;316.52;535.940;167691259.62;5192492809.05
27. Dez 24;319.69;;-8.35;-2.54%;325.56;313.06;325.56;293.041;93237404.34;5349919898.28
26. Dez 24;328.04;;0.64;0.2%;325.76;322.92;331.03;274.237;89960802.1;5445768065.73
24. Dez 24;327.39;;Feb 81;0.87%;323.5;322.21;329.41;114.492;37456930.53;5368701256.17
23. Dez 24;324.59;;-3.46;-1.05%;328.8;323.06;330.73;373.777;121659463.17;5.327.142.601,00
20. Dez 24;328.05;;Apr 54;1.4%;314.24;311.47;331.31;1.263.587;413672786.89;5436215868.87
19. Dez 24;323.51;;02. Jan;0.63%;333.1;321.24;333.66;436.154;141834448.4;5055018904.42
18. Dez 24;321.49;;-16.04;-4.75%;340.46;320.06;340.88;572.099;188665039.58;4917970058.36
17. Dez 24;337.53;;Mai 74;1.73%;335.88;332.4;343.42;649.615;220002202.38;5039921086.62
16. Dez 24;331.8;;Sep 89;3.07%;324.85;321.47;333.83;639.007;211169205.18;4810262666.29
13. Dez 24;321.91;;-2.46;-0.76%;324.22;318;328.39;517.811;166970387.69;4602622041.34
12. Dez 24;324.37;;-3.77;-1.15%;325.9;321.21;329.36;424.068;137916052.43;4785521124.61
11. Dez 24;328.14;;-15.6;-4.54%;334.63;303.06;336.12;1.226.965;393633728.62;4910811393.49
10. Dez 24;343.74;;2;0.58%;343.41;340.78;352.28;379.649;131162190.63;5.288.302.393,00
09. Dez 24;341.75;;-6.95;-1.99%;346.25;331.69;350.54;532.518;181485475.23;5144437752.89
06. Dez 24;348.69;;-3.69;-1.05%;354.65;346.33;354.65;552.089;192915626.78;5317830571.82
05. Dez 24;352.38;;Mai 43;1.56%;346.24;342.54;357.53;583.796;205936741.03;5501369922.37
04. Dez 24;346.95;;Mrz 46;1.01%;345.38;344.35;352.21;581.906;202568980.12;5333720580.38
03. Dez 24;343.5;;13.39;4.05%;324.98;324.76;343.61;494.917;167923106.86;5131690887.01
02. Dez 24;330.11;;0.78;0.24%;330.94;323.9;333.22;423.963;139786007.92;4969401489.92
29. Nov 24;329.33;;0.26;0.08%;327.64;326.79;334.43;230.258;75806623.75;5071538312.69
27. Nov 24;329.08;;-8.06;-2.39%;334.04;322.13;334.37;468.361;153673430.37;5000908996.19
26. Nov 24;337.14;;Mai 52;1.67%;332.32;330.9;342.1;875.653;293588178.04;5192917390.57
25. Nov 24;331.62;;-6.26;-1.85%;342.6;325.04;347.77;1.071.627;355751953.79;4895630248.51
22. Nov 24;337.88;;Nov 71;3.59%;328.74;327.05;338.28;563.405;188238178.81;5290178053.73
21. Nov 24;326.17;;12. Sep;3.85%;322.88;315.1;327.04;559.515;180943130.07;5074675531.7
20. Nov 24;314.09;;10. Jan;3.32%;306.37;305.74;314.75;545.359;169648279.38;4861238723.71
19. Nov 24;303.98;;14.41;4.98%;286.29;286.29;304.66;647.535;195328047.6;4668540564.02
18. Nov 24;289.58;;-1.97;-0.68%;290.43;284.09;299.08;468.494;137012005.38;4471553734.87
15. Nov 24;291.55;;-14.79;-4.83%;302.64;290.77;304.05;570.863;167582773.75;4633916783.91
14. Nov 24;306.34;;0.14;0.05%;306.41;300.29;307.77;283.775;86721993.55;4806510187.77
13. Nov 24;306.19;;10. Mrz;3.48%;300.1;299.09;311.64;515.069;157867087.25;4877929076.47
12. Nov 24;295.89;;-2.8;-0.94%;299;294.82;303.91;476.715;141999602.23;4693387930.23
11. Nov 24;298.69;;-6.3;-2.06%;305.8;287.91;308.77;650.590;194070971.1;4821313105.49
08. Nov 24;304.99;;Dez 67;4.34%;297.35;293.55;308.46;682.721;206619673.57;4985460944.69
07. Nov 24;292.32;;-4.9;-1.65%;281.77;276.86;299.89;1.236.853;359585803.91;4740785097.4
06. Nov 24;297.21;;20;7.21%;288.96;283.37;297.76;1.105.409;324026780.1;5136519514.19
05. Nov 24;277.22;;10;3.74%;269.94;268.64;277.89;763.352;210282957.4;4723536944.39
04. Nov 24;267.21;;-3.86;-1.42%;266.34;262.8;271.95;484.634;130263434.54;4535255181.4
01. Nov 24;271.07;;Jan 87;0.7%;270.43;268.26;274.75;380.103;102936174.34;4684041237.9
31. Okt 24;269.2;;-7.14;-2.58%;273.35;262.18;274.52;535.996;143254944.57;4560458276.86
30. Okt 24;276.34;;Mrz 82;1.4%;271.74;269.1;287.34;834.422;233800751.65;4715845429.09
29. Okt 24;272.52;;04. Aug;1.52%;267.81;267.64;274.01;360.901;98085435.72;4497418971.78
