Exchange Date,Close,Net,%Chg
45709,271.3651,0.775,0.002864111
45708,270.5901,0.814,0.003017317
45707,269.7761,0.521,0.001934968
45706,269.2551,-1.2636,-0.004671026
45702,270.5187,0.9424,0.003495856
45701,269.5763,2.0283,0.00758107
45700,267.548,-2.1171,-0.007850849
45699,269.6651,-0.1491,-0.000552602
45698,269.8142,0.0999,0.000370392
45695,269.7143,-0.9446,-0.003490002
45694,270.6589,-0.4394,-0.001620814
45693,271.0983,1.6095,0.005972419
45692,269.4888,0.3115,0.00115723
45691,269.1773,0.8872,0.003306868
45688,268.2901,0.3066,0.0011441
45687,267.9835,0.3462,0.001293542
45686,267.6373,-0.4131,-0.001541128
45685,268.0504,0.1774,0.000662254
45684,267.873,1.6319,0.006129407
45681,266.2411,0.6837,0.002574585
45680,265.5574,0.0536,0.00020188
45679,265.5038,-0.4976,-0.001870667
45678,266.0014,0.5861,0.002208237
45674,265.4153,0.051,0.000192189
45673,265.3643,0.6839,0.002583871
45672,264.6804,2.4979,0.009527333
45671,262.1825,-0.0732,-0.000279117
45670,262.2557,-0.0588,-0.000224158
45667,262.3145,-1.0438,-0.003963422
45666,263.3583,-0.4978,-0.001886634
45665,263.8561,0.8947,0.003402401
45664,262.9614,-0.5401,-0.002049704
45663,263.5015,-0.0984,-0.000373293
45660,263.5999,-0.7934,-0.003000832
45659,264.3933,0.2438,0.000922962
45657,264.1495,-0.3133,-0.001184666
45656,264.4628,1.2517,0.004755499
45653,263.2111,-0.9463,-0.003582334
45652,264.1574,0.1725,0.000653446
45650,263.9849,0.5305,0.002013631
45649,263.4544,-0.5205,-0.001971778
45646,263.9749,0.868,0.003299039
45645,263.1069,-1.7053,-0.006439658
45644,264.8122,-2.3799,-0.008907075
45643,267.1921,-0.2314,-0.000865294
45642,267.4235,-0.3907,-0.001458847
45639,267.8142,-1.2856,-0.00477741
45638,269.0998,-0.9455,-0.003501264
45637,270.0453,-0.5237,-0.001935551
45636,270.569,-0.1047,-0.000386813
45635,270.6737,-0.6432,-0.00237066
45632,271.3169,0.4013,0.001481273
45631,270.9156,-0.3971,-0.001463625
45630,271.3127,0.9099,0.00336498
45629,270.4028,-0.1064,-0.000393332
45628,270.5092,0.0275,0.00010167
45625,270.4817,1.2088,0.004489126
45623,269.2729,1.0807,0.004029573
45622,268.1922,1.2935,0.004846408
45618,266.8987,0.2377,0.000891394
45617,266.661,-0.5207,-0.001948861
45616,267.1817,-0.2231,-0.000834316
45615,267.4048,1.6272,0.006122412
45611,265.7776,-0.1961,-0.000737291
45609,265.9737,-0.6469,-0.002426294
45608,266.6206,-2.9602,-0.010980752
45604,269.5808,0.9113,0.0033919
45603,268.6695,1.669,0.006250925
45602,267.0005,-1.149,-0.004284923
45601,268.1495,0.3638,0.001358549
45600,267.7857,0.7573,0.002836028
45597,267.0284,-1.8722,-0.006962424
45596,268.9006,-0.5253,-0.001949701
45595,269.4259,0.6083,0.002262873
45594,268.8176,0.4426,0.001649185
45593,268.375,-0.6108,-0.002270752
45590,268.9858,-1.0749,-0.003980216
45589,270.0607,0.3584,0.001328873
45588,269.7023,-1.1984,-0.004423761
45587,270.9007,0.3978,0.001470594
45586,270.5029,-2.1453,-0.007868381
45582,272.6482,-0.9905,-0.003619737
45581,273.6387,0.1902,0.000695561
45580,273.4485,0.169,0.000618414
45576,273.2795,-0.2753,-0.00100638
45575,273.5548,0.5687,0.002083256
45574,272.9861,-0.78,-0.002849148
45573,273.7661,0.6108,0.002236091
45572,273.1553,-0.2736,-0.001000626
45569,273.4289,-2.5014,-0.009065333
45568,275.9303,-1.7471,-0.006291834
45567,277.6774,-0.4826,-0.001734973
45566,278.16,1.3284,0.004798585
45565,276.8316,0.8111,0.00293855
45561,276.0205,-0.4378,-0.001583602
45560,276.4583,-1.4047,-0.005055369
45559,277.863,0.7816,0.002820832
45558,277.0814,-0.0126,-4.54719E-05
45555,277.094,-0.6057,-0.002181133
45554,277.6997,0.9495,0.003430892
45553,276.7502,-1.4463,-0.005198843
45552,278.1965,0.0248,8.91536E-05
45551,278.1717,1.167,0.004212925
45548,277.0047,1.1594,0.00420308
45547,275.8453,-0.1881,-0.000681439
45546,276.0334,0.1928,0.000698954
45545,275.8406,0.9491,0.003452635
45544,274.8915,0.7042,0.002568317
45541,274.1873,0.0246,8.97277E-05
45540,274.1627,0.3608,0.001317741
45539,273.8019,0.778,0.002849567
45538,273.0239,0.7824,0.002873919
45534,272.2415,-1.2299,-0.004497362
45533,273.4714,-0.5689,-0.002075972
45532,274.0403,-0.0256,-9.34082E-05
45531,274.0659,1.8882,0.00693738
45526,272.1777,-1.0336,-0.003783152
45525,273.2113,0.7304,0.002680555
45524,272.4809,1.2764,0.004706412
45523,271.2045,0.3879,0.001432335
45520,270.8166,-0.1096,-0.000404538
45519,270.9262,-0.8235,-0.003030362
45518,271.7497,-0.3616,-0.001328868
45517,272.1113,0.7724,0.002846625
45516,271.3389,1.057,0.003910732
45513,270.2819,0.9403,0.003491106
45512,269.3416,-0.4875,-0.001806699
45511,269.8291,-1.1175,-0.004124429
45510,270.9466,-1.1074,-0.004070515
45506,272.054,1.4441,0.005336464
45505,270.6099,0.3631,0.001343587
45504,270.2468,2.094,0.007808981
45503,268.1528,0.2817,0.001051625
45502,267.8711,0.5865,0.00219429
45499,267.2846,0.9566,0.003591812
45498,266.328,0.8274,0.003116377
45497,265.5006,-0.9842,-0.003693269
45496,266.4848,-0.143,-0.000536328
45495,266.6278,-0.4236,-0.001586211
45492,267.0514,-0.9443,-0.003523564
45491,267.9957,-0.9416,-0.003501188
45490,268.9373,0.1945,0.00072374
45489,268.7428,1.2067,0.004510419
45488,267.5361,-0.2116,-0.000790296
45485,267.7477,0.3633,0.001358718
45484,267.3844,1.1671,0.004384013
45483,266.2173,0.6583,0.002478922
45482,265.559,1.133,0.004284753
45476,264.426,1.4192,0.005396058
45475,263.0068,0.658,0.002508111
45474,262.3488,-1.4849,-0.005628167
45471,263.8337,-1.3594,-0.005126076
45470,265.1931,0.7626,0.002883934
45469,264.4305,-1.0481,-0.003947964
45468,265.4786,0.2995,0.001129425
45467,265.1791,0.185,0.000698129
45464,264.9941,-0.5003,-0.001884409
45463,265.4944,0.0937,0.000353051
45461,265.4007,1.3113,0.004965364
45460,264.0894,-0.4067,-0.001537641
45457,264.4961,0.257,0.000972604
45456,264.2391,1.4364,0.005465697
45455,262.8027,0.4669,0.00177978
45454,262.3358,1.055,0.004037801
45453,261.2808,-0.4912,-0.001876442
45450,261.772,-2.8072,-0.010610056
45449,264.5792,-0.4573,-0.001725423
45448,265.0365,0.7607,0.002878432
45447,264.2758,1.1384,0.004326257
45446,263.1374,1.7158,0.006563344
45443,261.4216,1.2418,0.004772853
45442,260.1798,1.493,0.005771458
45441,258.6868,-0.9402,-0.003621349
45440,259.627,-0.9908,-0.003801736
45436,260.6178,0.444,0.001706552
45435,260.1738,-1.4413,-0.005509239
45434,261.6151,-0.3099,-0.001183163
45433,261.925,0.8209,0.003143957
45432,261.1041,-0.092,-0.000352226
45429,261.1961,-0.5606,-0.002141683
45428,261.7567,-0.5602,-0.002135585
45427,262.3169,1.8263,0.007011002
45426,260.4906,0.6522,0.002510022
45425,259.8384,0.3257,0.001255045
45422,259.5127,0.4676,0.001805091
45420,259.0451,-0.4762,-0.001834917
45419,259.5213,0.025,9.63405E-05
45418,259.4963,0.3254,0.001255542
45415,259.1709,1.6102,0.00625173
45414,257.5607,1.1508,0.004488126
45413,256.4099,0.3581,0.001398545
45412,256.0518,-1.4347,-0.005571943
45411,257.4865,0.9882,0.003852657
45408,256.4983,0.8552,0.003345289
45407,255.6431,-0.8919,-0.003476719
45406,256.535,-0.6832,-0.002656111
