Exchange Date,Close,Net,%Chg,Open,Low,High
45712,13159.207,-65.2389,-0.004933205,,,
45709,13224.4459,-229.0927,-0.017028434,13224.4459,13224.4459,13224.4459
45708,13453.5386,-56.7505,-0.004200539,13453.5386,13453.5386,13453.5386
45707,13510.2891,32.2678,0.002394105,13510.2891,13510.2891,13510.2891
45706,13478.0213,34.9238,0.002597898,13478.0213,13478.0213,13478.0213
45702,13443.0975,2.1648,0.00016106,13443.0975,13443.0975,13443.0975
45701,13440.9327,138.8307,0.010436749,13440.9327,13440.9327,13440.9327
45700,13302.102,-34.9014,-0.002616885,13302.102,13302.102,13302.102
45699,13337.0034,4.8535,0.000364045,13337.0034,13337.0034,13337.0034
45698,13332.1499,90.8132,0.006858311,13332.1499,13332.1499,13332.1499
45695,13241.3367,-125.6227,-0.009398001,13241.3367,13241.3367,13241.3367
45694,13366.9594,48.5309,0.003643891,13366.9594,13366.9594,13366.9594
45693,13318.4285,51.9755,0.003917814,13318.4285,13318.4285,13318.4285
45692,13266.453,95.2423,0.007231097,13266.453,13266.453,13266.453
45691,13171.2107,-100.1718,-0.007547955,13171.2107,13171.2107,13171.2107
45688,13271.3825,-66.4681,-0.004983419,13271.3825,13271.3825,13271.3825
45687,13337.8506,70.196,0.005290762,13337.8506,13337.8506,13337.8506
45686,13267.6546,-62.2946,-0.004673281,13267.6546,13267.6546,13267.6546
45685,13329.9492,121.7562,0.009218233,13329.9492,13329.9492,13329.9492
45684,13208.193,-195.3128,-0.01457177,13208.193,13208.193,13208.193
45681,13403.5058,-37.1031,-0.002760522,13403.5058,13403.5058,13403.5058
45680,13440.6089,71.2481,0.005329208,13440.6089,13440.6089,13440.6089
45679,13369.3608,81.7819,0.006154763,13369.3608,13369.3608,13369.3608
45678,13287.5789,115.8279,0.00879366,13287.5789,13287.5789,13287.5789
45674,13171.751,130.557,0.010011123,13171.751,13171.751,13171.751
45673,13041.194,-27.3706,-0.002094385,13041.194,13041.194,13041.194
45672,13068.5646,236.2793,0.018412878,13068.5646,13068.5646,13068.5646
45671,12832.2853,14.7248,0.001148799,12832.2853,12832.2853,12832.2853
45670,12817.5605,20.1686,0.001575993,12817.5605,12817.5605,12817.5605
45667,12797.3919,-197.7415,-0.015216581,12797.3919,12797.3919,12797.3919
45665,12995.1334,20.545,0.00158348,12995.1334,12995.1334,12995.1334
45664,12974.5884,-145.5477,-0.01109346,12974.5884,12974.5884,12974.5884
45663,13120.1361,73.2512,0.005614459,13120.1361,13120.1361,13120.1361
45660,13046.8849,163.3065,0.012675554,13046.8849,13046.8849,13046.8849
45659,12883.5784,-28.2434,-0.002187406,12883.5784,12883.5784,12883.5784
45657,12911.8218,-54.3968,-0.004195271,12911.8218,12911.8218,12911.8218
45656,12966.2186,-140.1687,-0.010694686,12966.2186,12966.2186,12966.2186
