Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Bid,Ask
45707,76.04,0.2,0.002637131,75.85,75.8,76.84,270918,76.04,76.13
45706,75.84,0.62,0.008242489,75.27,74.9,76.07,320980,75.76,75.8
45705,75.22,0.48,0.006422264,74.67,74.19,75.38,209468,75.32,75.38
45702,74.74,-0.28,-0.003732338,75,74.53,75.85,302061,74.61,74.65
45701,75.02,-0.16,-0.002128226,74.97,74.06,75.37,331423,75.27,75.33
45700,75.18,-1.82,-0.023636364,76.82,74.92,76.91,371408,74.94,74.96
45699,77,1.13,0.014893897,75.94,75.9,77.29,349471,76.8,76.83
45698,75.87,1.21,0.016206804,74.59,74.51,76.23,271703,76.09,76.13
45695,74.66,0.37,0.004980482,74.31,74.26,75.12,290575,74.69,74.78
45694,74.29,-0.32,-0.004288969,74.71,74.1,75.4,378113,74.27,74.29
45693,74.61,-1.59,-0.020866142,76.21,74.56,76.34,343530,74.67,74.74
45692,76.2,0.24,0.003159558,75.4,74.15,76.66,576119,76.03,76.12
45691,75.96,-0.8,-0.010422095,76.79,75.04,77.34,548326,75.46,75.5
45688,76.76,-0.11,-0.001430987,77.25,76.48,77.51,17825,76.75,76.77
45687,76.87,0.29,0.00378689,76.77,76,77.63,84786,77.04,77.1
45686,76.58,-0.91,-0.011743451,77.62,76.31,77.7,104849,76.89,76.92
45685,77.49,0.41,0.005319149,77.01,76.85,78.18,215557,77.58,77.64
45684,77.08,-1.42,-0.018089172,78.34,76.3,79,247123,77.07,77.11
45681,78.5,0.21,0.002682335,77.86,77.6,78.99,246784,78.36,78.47
45680,78.29,-0.71,-0.008987342,78.85,77.8,79.6,348163,77.88,77.9
45679,79,-0.29,-0.00365746,79.39,78.81,79.9,315478,78.97,79
45678,79.29,-0.86,-0.010729881,79.78,78.45,80.46,390293,79.36,79.5
45677,80.15,-0.64,-0.007921772,80.98,79.42,81.23,285721,79.8,79.85
45674,80.79,-0.5,-0.006150818,81.44,80.5,81.93,309195,80.62,80.75
45673,81.29,-0.74,-0.00902109,82.42,80.39,82.57,453670,81.29,81.37
45672,82.03,2.11,0.026401401,80.29,79.62,82.63,484576,82.42,82.49
45671,79.92,-1.09,-0.013455129,80.92,79.87,81.15,445379,80.25,80.33
45670,81.01,1.25,0.015672016,79.76,79.76,81.68,610623,80.9,80.98
45667,79.76,2.84,0.036921477,77.26,77.03,80.75,762618,79.66,79.82
45666,76.92,0.76,0.009978992,76.18,75.68,77.27,302920,77.16,77.2
45665,76.16,-0.89,-0.011550941,77.3,76.04,77.89,442514,76.17,76.22
45664,77.05,0.75,0.00982962,76.18,75.91,77.3,368628,77.25,77.28
45663,76.3,-0.21,-0.002744739,76.58,75.94,77.5,372574,76.26,76.29
45660,76.51,0.58,0.007638615,75.98,75.53,76.73,314609,76.64,76.7
45659,75.93,1.29,0.017282958,74.93,74.72,76.55,365430,75.91,75.94
45657,74.64,0.25,0.003360667,74.25,73.84,74.89,190978,74.83,74.84
45656,74.39,0.22,0.002966159,73.81,73.8,74.63,23415,74.36,74.39
45653,74.17,0.91,0.012421512,73.16,73.05,74.29,82603,73.8,74.09
45652,73.26,-0.32,-0.004349008,73.77,72.99,74.17,54047,73.27,73.31
45650,73.58,0.95,0.013079994,72.96,72.79,73.81,93488,73.63,73.66
45649,72.63,-0.31,-0.004250069,72.86,71.98,73.38,184073,72.95,72.96
45646,72.94,0.06,0.000823271,72.57,72,73.29,240707,72.97,73
45645,72.88,-0.51,-0.006949176,72.91,72.53,73.86,302552,72.65,72.67
45644,73.39,0.2,0.002732614,73.26,72.8,74.2,285296,72.98,73
45643,73.19,-0.72,-0.009741578,73.91,72.48,74.18,270248,73.31,73.34
45642,73.91,-0.58,-0.00778628,74.6,73.7,74.6,234416,73.87,73.91
45639,74.49,1.08,0.014711892,73.33,73.3,74.59,246401,74.36,74.39
45638,73.41,-0.11,-0.001496192,73.6,72.42,74,324253,73.33,73.41
45637,73.52,1.33,0.018423604,72.15,72.15,73.75,308964,73.62,73.64
45636,72.19,0.05,0.000693097,71.94,71.53,72.72,265902,72,72.13
45635,72.14,1.02,0.014341957,70.92,70.92,72.65,231212,71.9,71.93
45632,71.12,-0.97,-0.013455403,72.12,70.85,72.19,290064,71.04,71.05
45631,72.09,-0.22,-0.003042456,72.52,71.8,72.92,318757,72.17,72.21
45630,72.31,-1.31,-0.017794078,73.62,72.25,74.28,340349,72.49,72.51
45629,73.62,1.79,0.02491995,71.93,71.68,73.93,365424,73.67,73.68
45628,71.83,-1.11,-0.015217987,72,71.52,72.89,289485,71.91,71.95
45625,72.94,-0.34,-0.004639738,73.11,72.56,73.47,23330,72.94,72.95
45624,73.28,0.45,0.006178772,72.87,72.38,73.49,49822,73.14,73.17
45623,72.83,0.02,0.000274688,72.88,72.27,73.37,106533,72.91,72.97
45622,72.81,-0.2,-0.002739351,72.85,72.09,74.36,200697,72.9,72.98
45621,73.01,-2.16,-0.028734868,75.38,72.84,75.38,282155,73.1,73.12
45618,75.17,0.94,0.012663344,74.29,73.43,75.41,298303,75.18,75.28
45617,74.23,1.42,0.019502816,73.1,72.91,74.4,307868,74.33,74.37
45616,72.81,-0.5,-0.006820352,73.38,72.7,73.94,260505,73.07,73.1
45615,73.31,0.01,0.000136426,73.15,72.61,73.87,354131,73.3,73.32
45614,73.3,2.26,0.031813063,70.8,70.7,73.47,333852,73.12,73.14
45611,71.04,-1.52,-0.020948181,72.28,70.83,72.49,307470,71.02,71.05
45610,72.56,0.28,0.003873824,72.12,71.79,73.22,264408,72.35,72.41
45609,72.28,0.39,0.005424955,71.78,70.72,72.63,388334,72.01,72.03
